sending sync frame
00
9a
FRAME c0 LENGTH 1 PAYLOAD  CRC c0
FRAME 08 LENGTH 6 PAYLOAD 0001014000 CRC 4a
FRAME 18 LENGTH 6 PAYLOAD 0001014000 CRC 5a
FRAME 28 LENGTH 6 PAYLOAD 0001014000 CRC 6a
FRAME 38 LENGTH 6 PAYLOAD 0001014000 CRC 7a
FRAME 48 LENGTH 6 PAYLOAD 0001014000 CRC 8a
FRAME 08 LENGTH 6 PAYLOAD 0001014000 CRC 4a
FRAME 18 LENGTH 6 PAYLOAD 0001014000 CRC 5a
FRAME 28 LENGTH 6 PAYLOAD 0001014000 CRC 6a
FRAME 38 LENGTH 6 PAYLOAD 0001014000 CRC 7a
FRAME 48 LENGTH 6 PAYLOAD 0001014000 CRC 8a
FRAME 08 LENGTH 6 PAYLOAD 0001014000 CRC 4a
FRAME 18 LENGTH 6 PAYLOAD 0001014000 CRC 5a
FRAME 28 LENGTH 6 PAYLOAD 0001014000 CRC 6a
FRAME 38 LENGTH 6 PAYLOAD 0001014000 CRC 7a
FRAME 48 LENGTH 6 PAYLOAD 0001014000 CRC 8a
FRAME 08 LENGTH 6 PAYLOAD 0001014000 CRC 4a
FRAME 18 LENGTH 6 PAYLOAD 0001014000 CRC 5a
FRAME 28 LENGTH 6 PAYLOAD 0001014000 CRC 6a
FRAME 38 LENGTH 6 PAYLOAD 0001014000 CRC 7a
FRAME 48 LENGTH 6 PAYLOAD 0001014000 CRC 8a
FRAME 08 LENGTH 6 PAYLOAD 0001014000 CRC 4a
FRAME 18 LENGTH 6 PAYLOAD 0001014000 CRC 5a
FRAME 28 LENGTH 6 PAYLOAD 0001014000 CRC 6a
FRAME 38 LENGTH 6 PAYLOAD 0001014000 CRC 7a
FRAME 48 LENGTH 6 PAYLOAD 0001014000 CRC 8a
FRAME 08 LENGTH 6 PAYLOAD 0001014000 CRC 4a
FRAME 18 LENGTH 6 PAYLOAD 0001014000 CRC 5a
FRAME 28 LENGTH 6 PAYLOAD 0001014000 CRC 6a
FRAME 38 LENGTH 6 PAYLOAD 0001014000 CRC 7a
FRAME 48 LENGTH 6 PAYLOAD 0001014000 CRC 8a
FRAME 08 LENGTH 6 PAYLOAD 0001014000 CRC 4a
FRAME 18 LENGTH 6 PAYLOAD 0001014000 CRC 5a
FRAME 28 LENGTH 6 PAYLOAD 0001014000 CRC 6a
FRAME 38 LENGTH 6 PAYLOAD 0001014000 CRC 7a
FRAME 48 LENGTH 6 PAYLOAD 0001014000 CRC 8a
FRAME 08 LENGTH 6 PAYLOAD 0001014000 CRC 4a
FRAME 18 LENGTH 6 PAYLOAD 0001014000 CRC 5a
FRAME 28 LENGTH 6 PAYLOAD 0001014000 CRC 6a
FRAME 38 LENGTH 6 PAYLOAD 0001014000 CRC 7a
FRAME 48 LENGTH 6 PAYLOAD 0001014000 CRC 8a
FRAME 08 LENGTH 6 PAYLOAD 0001014000 CRC 4a
FRAME 18 LENGTH 6 PAYLOAD 0001014000 CRC 5a
FRAME 28 LENGTH 6 PAYLOAD 0001014000 CRC 6a
FRAME 38 LENGTH 6 PAYLOAD 0001014000 CRC 7a
FRAME 48 LENGTH 6 PAYLOAD 0001014000 CRC 8a
